שם,מחיר,יחידה
ארטישוק ירושלמי כישורית ,29 ,"(ק""ג)"
בטטה כישורית ,12 ,"(ק""ג)"
בטטה סגולה אורגנית ,17 ,"(ק""ג)"
בצל יבש אורגני ,11 ,"(ק""ג, מלאי מוגבל)"
בצל ירוק כישורית ,8 ,(יח')
גזר כתום אורגני ,14 ,"(יחידה ארוזה, המחיר לק""ג)"
דלורית כישורית ,8 ,"(נא לציין מס' יחידות. המחיר לק""ג) "
דלעת כישורית *במבצע* ,6 ,"(חתוכה, ק""ג)"
דלעת ערמונים אורגנית ,16 ,"(ק""ג,2-4 יחידות)"
חסה ערבית כישורית ,5 ,(יח') 
חציל אורגני ,11 ,"(ק""ג)"
חציל יפני אורגני ארוז ,9 ,(כ400 גרם)
לפת מתוקה כישורית ,7 ,(צרור)
מלפפון בייבי אורגני ,11 ,(יח')
מלפפון חממה כישורית ,10 ,"(ק""ג) "
מנגולד צבעוני כישורית ,7 ,(יח')
סלק אדום כישורית ,10 ,"(ק""ג)"
סלק זהוב כישורית ,10 ,"(ק""ג)"
עגבניות אורגניות ,16 ,"(ק""ג, מלאי מוגבל, ייתכנו חוסרים)"
עלי בייבי כישורית ,12 ,(יח')
פלפל ביס אורגני ,10 ,(יחידה)
פלפל צ'ילי חריף כישורית ,10 ,(יח' ארוזה)
קולורבי לבן כישורית ,12 ,"(ק""ג) "
קייל אדום נימים כישורית ,7 ,(יח')
רוקט כישורית ,6 ,(יח')
תפוח אדמה צהוב אורגני ,9 ,"(ק""ג)"
